DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,IT,2016,1695786.8,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,IT,2017,1736592.8,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,IT,2018,1771391.2,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,IT,2019,1796648.5,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,IT,2020,1660621.4,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LT,2012,33410.2,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LT,2013,35039.5,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LT,2014,36581.3,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LT,2015,37345.7,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LT,2016,38889.9,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LT,2017,42276.3,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LT,2018,45515.2,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LT,2019,48908.2,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LT,2020,49769.6,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LU,2012,46526.2,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LU,2013,49094.5,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LU,2014,51791.3,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LU,2015,54142.3,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LU,2016,56208.1,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LU,2017,58168.8,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LU,2018,60121.2,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LU,2019,62373.6,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LU,2020,64781.0,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LV,2012,22097.5,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LV,2013,22791.3,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LV,2014,23625.8,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LV,2015,24572.1,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LV,2016,25371.3,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LV,2017,26984.4,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LV,2018,29153.6,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LV,2019,30678.6,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,LV,2020,30294.0,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,MT,2012,7364.5,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,MT,2013,7944.3,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,MT,2014,8751.1,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,MT,2015,9996.7,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,MT,2016,10541.1,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,MT,2017,11936.6,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,MT,2018,12951.0,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,MT,2019,14177.9,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,MT,2020,13164.0,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,NL,2012,652966.0,
